frame,keypoint,x,y
45,1,876,328
45,2,793,328
45,3,793,446
45,4,793,540
45,5,918,328
45,6,918,446
45,7,918,540
45,8,793,516
45,9,793,633
45,11,876,516
45,12,918,633
46,0,918,234
46,1,876,328
46,2,793,328
46,3,793,446
46,4,793,540
46,5,918,328
46,6,918,446
46,7,876,540
46,8,793,516
46,9,793,657
46,11,876,516
46,12,918,657
47,0,918,258
47,1,876,328
47,2,793,328
47,3,793,446
47,4,834,540
47,5,918,328
47,6,918,446
47,7,876,540
47,8,793,516
47,9,793,657
47,10,751,798
47,11,876,516
47,12,876,657
48,0,918,234
48,1,876,328
48,2,793,328
48,3,793,446
48,4,793,540
48,5,918,328
48,6,918,446
48,7,876,540
48,8,793,516
48,9,793,657
48,10,751,798
48,11,876,516
48,12,918,657
49,0,918,258
49,1,876,328
49,2,793,328
49,3,793,446
49,4,834,540
49,5,918,328
49,6,918,446
49,7,918,540
49,8,793,516
49,9,793,704
49,10,751,868
49,11,876,540
49,12,918,704
49,13,960,868
50,0,918,258
50,1,876,328
50,2,793,328
50,3,793,446
50,4,834,540
50,5,918,328
50,6,918,446
50,7,918,540
50,8,793,516
50,9,793,680
50,10,751,845
50,11,876,516
50,12,918,704
50,13,918,868
51,0,918,258
51,1,876,328
51,2,793,328
51,3,793,446
51,4,834,540
51,5,960,328
51,6,918,446
51,7,918,540
51,8,793,516
51,9,793,680
51,10,751,868
51,11,876,516
51,12,918,704
51,13,918,868
52,0,918,258
52,1,876,328
52,2,793,328
52,3,793,446
52,4,834,540
52,5,960,328
52,6,918,446
52,7,918,540
52,8,793,516
52,9,793,680
52,10,751,845
52,11,876,516
52,12,918,704
52,13,918,845
53,0,918,258
53,1,876,328
53,2,793,328
53,3,793,446
53,4,834,540
53,5,918,328
53,6,918,446
53,7,918,540
53,8,793,516
53,9,751,704
53,10,751,868
53,11,876,516
53,12,918,704
53,13,918,868
54,0,918,258
54,1,876,328
54,2,793,328
54,3,751,446
54,4,793,540
54,5,918,328
54,6,918,446
54,7,918,540
54,8,793,516
54,9,793,657
54,10,751,798
54,11,876,516
54,12,918,633
55,0,918,258
55,1,876,328
55,2,793,328
55,3,751,446
55,4,834,540
55,5,918,328
55,6,918,446
55,7,918,540
55,8,793,516
55,9,793,657
55,11,876,516
55,12,918,610
55,13,918,680
56,0,918,258
56,1,876,328
56,2,793,328
56,3,751,446
56,4,834,540
56,5,918,328
56,6,918,446
56,7,918,540
56,8,793,516
56,9,793,657
56,11,876,516
56,12,918,610
56,13,918,657
57,0,918,258
57,1,876,328
57,2,793,328
57,3,793,446
57,4,793,540
57,5,960,352
57,6,918,446
57,7,918,540
57,8,793,516
57,9,793,657
57,11,876,516
57,12,918,610
57,13,918,680
58,0,918,258
58,1,876,328
58,2,793,328
58,3,793,446
58,4,793,540
58,5,960,352
58,6,918,446
58,7,918,540
58,8,793,516
58,9,793,633
58,11,876,516
58,12,918,610
58,13,918,680
59,0,918,258
59,1,876,328
59,2,793,328
59,3,793,446
59,4,793,540
59,5,960,352
59,6,918,446
59,7,918,540
59,8,793,516
59,9,834,633
59,11,876,516
59,12,918,610
59,13,918,680
60,0,918,258
60,1,876,328
60,2,793,328
60,3,793,446
60,4,793,540
60,5,960,352
60,6,918,446
60,7,918,540
60,8,793,516
60,9,793,633
60,11,876,516
60,12,918,610
60,13,918,680
61,0,960,258
61,1,876,328
61,2,793,328
61,3,793,446
61,4,834,540
61,5,960,352
61,6,918,446
61,7,918,540
61,8,793,516
61,9,793,633
61,11,876,516
61,12,918,610
61,13,918,680
62,0,960,258
62,1,876,328
62,2,793,328
62,3,751,446
62,4,793,540
62,5,918,352
62,6,918,446
62,7,918,540
62,8,793,516
62,9,793,657
62,10,751,798
62,11,876,516
62,12,918,633
63,0,918,258
63,1,876,328
63,2,793,328
63,3,793,446
63,4,834,540
63,5,918,328
63,6,918,446
63,7,918,540
63,8,793,516
63,9,793,680
63,10,751,821
63,11,876,516
63,12,918,680
64,0,918,258
64,1,876,328
64,2,793,328
64,3,793,446
64,4,834,540
64,5,918,328
64,6,918,446
64,7,918,540
64,8,793,516
64,9,793,633
64,10,751,798
64,11,876,516
64,12,918,633
65,0,918,234
65,1,876,328
65,2,793,328
65,3,793,446
65,4,834,540
65,5,918,328
65,6,918,446
65,7,918,540
65,8,793,516
65,9,793,657
65,10,751,821
65,11,876,540
65,12,918,680
65,13,918,845
66,0,918,234
66,1,876,328
66,2,793,328
66,3,793,446
66,4,834,540
66,5,918,328
66,6,918,446
66,7,918,540
66,8,793,516
66,9,793,657
66,10,751,821
66,11,876,516
66,12,918,633
66,13,918,704
67,0,876,234
67,1,876,328
67,2,793,328
67,3,793,446
67,4,834,516
67,5,918,328
67,6,918,446
67,7,918,540
67,8,793,516
67,9,793,680
67,10,751,868
67,11,876,516
67,12,918,633
67,13,918,680
68,0,918,258
68,1,876,328
68,2,793,328
68,3,793,446
68,4,834,516
68,5,918,328
68,6,918,446
68,7,918,516
68,8,793,516
68,9,793,680
68,10,751,845
68,11,876,516
68,12,918,610
68,13,918,680
69,0,960,258
69,1,876,328
69,2,793,328
69,3,793,446
69,4,834,540
69,5,918,352
69,6,918,446
69,7,918,540
69,8,793,540
69,9,793,680
69,10,751,845
69,11,876,540
69,12,918,704
69,13,918,845
70,0,960,258
70,1,876,328
70,2,793,328
70,3,793,446
70,4,834,540
70,5,918,352
70,6,918,446
70,7,918,540
70,8,793,516
70,9,793,633
70,10,751,821
70,11,876,516
70,12,918,633
70,13,918,704
71,0,960,258
71,1,876,352
71,2,793,328
71,3,793,469
71,4,834,540
71,5,918,352
71,6,918,446
71,7,918,540
71,8,793,540
71,9,793,680
71,10,751,821
71,11,876,540
71,12,918,657
71,13,918,798
72,0,876,281
72,1,876,352
72,2,793,352
72,3,793,469
72,4,793,540
72,5,960,352
72,6,918,446
72,7,918,540
72,8,793,516
72,9,793,657
72,10,751,821
72,11,876,516
72,12,918,657
72,13,667,610
73,0,918,281
73,1,876,352
73,2,793,352
73,3,793,469
73,4,834,563
73,5,960,352
73,6,918,469
73,7,918,540
73,8,793,516
73,9,793,633
73,10,751,633
73,11,876,516
73,12,918,633
73,13,709,633
74,0,918,281
74,1,876,352
74,2,793,375
74,3,793,493
74,4,876,586
74,5,960,352
74,6,918,469
74,7,918,586
74,8,793,540
74,9,793,680
74,10,751,868
74,11,876,540
74,12,918,680
74,13,918,845
75,0,960,305
75,1,876,375
75,2,793,375
75,3,793,493
75,4,834,610
75,5,918,375
75,6,918,469
75,7,918,586
75,8,793,540
75,9,751,704
75,10,626,798
75,11,876,540
75,12,918,704
75,13,918,845
76,0,918,305
76,1,876,375
76,2,834,375
76,3,793,493
76,4,834,586
76,5,918,399
76,6,918,493
76,7,918,586
76,8,793,540
76,9,751,727
76,10,751,892
76,11,876,540
76,12,918,704
77,0,876,305
77,1,876,375
77,2,834,375
77,3,876,375
77,4,876,328
77,5,918,399
77,6,918,493
77,7,918,610
77,8,793,540
77,9,834,633
77,10,876,680
77,11,876,540
77,12,918,633
77,13,918,633
78,0,918,328
78,1,876,399
78,2,834,399
78,3,834,516
78,4,876,610
78,5,918,399
78,6,918,493
78,7,918,586
78,8,793,540
78,9,793,633
78,10,876,657
78,11,876,540
78,12,918,610
78,13,918,657
79,0,960,328
79,1,876,375
79,2,834,399
79,3,834,516
79,4,834,610
79,5,960,375
79,6,918,493
79,7,918,586
79,8,793,540
79,9,793,633
79,11,876,540
79,12,918,633
79,13,918,680
80,0,960,328
80,1,876,399
80,2,834,399
80,3,834,516
80,4,876,610
80,5,918,399
80,6,918,516
80,7,918,586
80,8,793,540
80,9,793,680
80,11,876,540
80,12,918,680
81,0,960,328
81,1,876,399
81,2,834,399
81,3,834,516
81,4,876,610
81,5,918,375
81,6,918,469
81,7,918,586
81,8,834,516
81,9,834,633
81,10,876,680
81,11,918,516
81,12,918,633
81,13,918,680
82,0,960,305
82,1,876,375
82,2,834,375
82,3,834,493
82,4,876,610
82,5,918,375
82,6,918,469
82,7,918,586
82,8,834,540
82,9,834,680
82,11,876,540
82,12,918,657
83,0,876,305
83,1,876,375
83,2,834,375
83,3,834,493
83,4,876,586
83,5,960,375
83,6,960,469
83,7,918,586
83,8,834,516
83,9,876,610
83,10,876,680
83,11,918,516
83,12,918,610
83,13,918,680
84,0,960,305
84,1,876,375
84,2,834,375
84,3,793,493
84,4,876,586
84,5,918,375
84,6,960,469
84,7,918,540
84,8,834,516
84,9,834,633
84,10,793,704
84,11,918,516
84,12,918,633
84,13,876,680
85,0,876,281
85,1,876,375
85,2,834,375
85,3,793,469
85,4,876,586
85,5,960,375
85,6,960,469
85,7,918,540
85,8,834,516
85,9,834,610
85,10,876,633
85,11,918,516
85,12,918,610
85,13,876,657
86,0,918,281
86,1,876,352
86,2,834,375
86,3,793,493
86,4,876,563
86,5,960,352
86,6,960,469
86,7,918,563
86,8,793,540
86,9,793,680
86,10,751,915
86,11,876,540
86,12,960,680
86,13,960,868
87,0,876,281
87,1,876,375
87,2,793,375
87,3,793,469
87,4,834,540
87,5,960,375
87,6,960,469
87,7,918,540
87,8,834,540
87,9,793,657
87,11,918,540
87,12,918,633
87,13,918,704
88,0,876,281
88,1,876,352
88,2,834,352
88,3,793,469
88,4,834,540
88,5,960,352
88,6,960,469
88,7,918,540
88,8,834,540
88,9,793,680
88,10,751,821
88,11,918,540
88,12,960,680
88,13,960,821
89,0,876,258
89,1,876,352
89,2,834,352
89,3,793,469
89,4,834,540
89,5,918,352
89,6,960,469
89,7,918,540
89,8,834,540
89,9,793,704
89,10,751,845
89,11,876,540
89,12,918,704
89,13,960,845
90,0,918,281
90,1,876,352
90,2,793,352
90,3,793,469
90,4,834,563
90,5,918,352
90,6,960,469
90,7,918,540
90,8,834,540
90,9,793,657
90,11,876,540
90,12,918,633
91,0,918,281
91,1,876,352
91,2,793,352
91,3,793,469
91,4,834,540
91,5,918,352
91,6,960,469
91,7,918,540
91,8,834,540
91,9,793,657
91,10,751,821
91,11,918,540
91,12,918,633
91,13,918,704
92,0,918,281
92,1,876,352
92,2,834,352
92,3,751,446
92,4,793,493
92,5,918,375
92,6,960,469
92,7,918,540
92,8,793,540
92,9,834,657
92,11,876,540
92,12,918,633
